City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
Erbaa,40,TR,1579922363,69,33.8,40.67,36.57,6.93
Hofn,100,IS,1579922363,97,36.28,64.25,-15.21,44.52
East London,40,ZA,1579922303,77,69.8,-33.02,27.91,4.7
Mataura,72,NZ,1579922329,58,66.99,-46.19,168.86,10.0
Coromandel,100,BR,1579922364,98,66.63,-18.47,-47.2,9.69
Araouane,100,ML,1579922364,15,73.92,18.9,-3.53,6.51
Rikitea,43,PF,1579922194,76,78.58,-23.12,-134.97,13.42
Ndele,100,CF,1579922364,13,64.89,8.41,20.65,13.09
Faanui,6,PF,1579922333,77,82.33,-16.48,-151.75,12.59
Albany,75,US,1579922365,68,37.4,42.6,-73.97,5.7
Punta Arenas,75,CL,1579922365,81,48.0,-53.15,-70.92,6.93
Hermanus,0,ZA,1579922195,96,64.0,-34.42,19.23,1.01
Kawambwa,100,ZM,1579922365,96,64.31,-9.79,29.08,2.75
Raja,35,SS,1579922366,21,52.56,8.46,25.68,5.28
Bluff,73,NZ,1579922366,58,66.99,-46.6,168.33,10.0
Esperance,40,AU,1579922169,53,77.0,-33.87,121.9,2.24
The Pas,1,CA,1579922366,85,14.0,53.83,-101.25,8.05
Puerto Ayora,23,EC,1579922367,56,77.0,-0.74,-90.35,10.31
Cape Town,20,ZA,1579922336,93,64.0,-33.93,18.42,6.93
Hobart,75,AU,1579922346,40,75.0,-42.88,147.33,19.46
Bonthe,0,SL,1579922367,89,75.78,7.53,-12.51,2.77
Westport,1,US,1579922255,69,41.0,41.14,-73.36,13.87
Cururupu,93,BR,1579922368,97,75.16,-1.83,-44.87,1.79
Hamilton,90,US,1579922104,86,42.01,39.18,-84.53,8.55
Adrar,99,MR,1579922368,39,72.84,20.5,-10.07,11.1
Hambantota,5,LK,1579922364,100,77.0,6.12,81.12,9.17
Gurupi,100,BR,1579922368,96,72.59,-11.73,-49.07,3.44
Tilichiki,100,RU,1579922369,88,27.88,60.47,166.1,25.9
Saint-Philippe,100,RE,1579922369,100,78.8,-21.36,55.77,25.28
Santa Rosa,75,PH,1579922369,70,84.99,14.31,121.11,6.93
Dawlatabad,0,AF,1579922369,78,40.32,36.41,64.91,6.26
Novo Cruzeiro,100,BR,1579922369,96,66.58,-17.47,-41.88,12.5
Kruisfontein,71,ZA,1579922370,83,65.12,-34.0,24.73,5.68
Taltal,0,CL,1579922370,79,69.78,-25.4,-70.48,2.1
Acarau,84,BR,1579922073,88,76.77,-2.89,-40.12,4.56
Bredasdorp,26,ZA,1579922331,94,68.0,-34.53,20.04,1.3
Taoudenni,89,ML,1579922183,20,72.52,22.68,-3.98,5.88
Skjervoy,100,NO,1579922371,96,30.78,70.03,20.97,18.52
Sivas,90,TR,1579922371,84,6.8,39.79,37.0,3.36
Betanzos,40,ES,1579922372,100,41.0,43.28,-8.21,5.82
Talnakh,75,RU,1579922202,78,10.4,69.49,88.4,17.9
Yerbogachen,98,RU,1579922372,94,8.26,61.28,108.01,6.42
Iskateley,86,RU,1579922372,99,-10.75,67.68,53.15,3.6
Tambopata,100,PE,1579922373,94,73.35,-12.73,-69.18,2.35
Isangel,24,VU,1579922202,80,79.27,-19.55,169.27,12.53
Thunder Bay,90,CA,1579922263,92,30.0,48.4,-89.32,2.24
New Norfolk,75,AU,1579922202,40,75.0,-42.78,147.06,19.46
Jamestown,90,US,1579922193,93,45.0,42.1,-79.24,9.17
Loksa,20,EE,1579922374,69,37.99,59.58,25.72,16.11
Cidreira,0,BR,1579922374,70,72.99,-30.18,-50.21,2.13
Onega,100,RU,1579922374,95,20.86,63.91,38.14,11.36
Ushuaia,75,AR,1579922320,81,48.2,-54.8,-68.3,2.26
Erzincan,0,TR,1579922375,78,10.4,39.75,39.5,3.53
Airai,100,TL,1579922375,64,81.54,-8.93,125.41,3.91
Kapaa,90,US,1579922375,73,80.6,22.08,-159.32,12.75
Cockburn Town,30,TC,1579922320,65,76.26,21.46,-71.14,10.25
Thompson,20,CA,1579922330,85,14.0,55.74,-97.86,6.93
Byron Bay,90,AU,1579922103,88,82.99,-28.65,153.62,6.93
Yellowknife,75,CA,1579922376,84,3.0,62.46,-114.35,11.41
Derzhavinsk,95,KZ,1579922376,93,5.34,51.1,66.32,17.45
Yarmouth,75,US,1579922333,86,41.0,41.71,-70.23,3.36
Iqaluit,20,CA,1579922322,67,-27.0,63.75,-68.51,11.41
Benjamin Constant,40,BR,1579922377,100,73.4,-4.38,-70.03,4.7
Port Elizabeth,62,ZA,1579922377,82,66.2,-33.92,25.57,10.29
Lompoc,1,US,1579922377,87,62.01,34.64,-120.46,10.29
Avarua,80,CK,1579922377,83,82.4,-21.21,-159.78,6.93
Chui,0,UY,1579922378,87,70.02,-33.7,-53.46,11.23
Souillac,75,MU,1579922378,88,80.6,-20.52,57.52,19.46
Puga,40,MX,1579922378,100,64.0,21.58,-104.82,0.89
Tuktoyaktuk,90,CA,1579922378,83,-4.0,69.45,-133.04,14.99
Nikolskoye,90,RU,1579922379,88,35.6,59.7,30.79,11.18
Tasiilaq,100,GL,1579922199,49,24.8,65.61,-37.64,26.4
Busselton,0,AU,1579922379,26,90.0,-33.65,115.33,5.37
Beloha,0,MG,1579922379,78,69.26,-25.17,45.05,12.8
Doaba,55,PK,1579922379,59,40.44,33.42,70.74,1.7
Marawi,40,PH,1579922380,86,82.99,8.0,124.29,4.0
Mount Gambier,75,AU,1579922380,56,73.4,-37.83,140.77,16.11
Lichinga,49,MZ,1579922380,93,64.85,-13.31,35.24,2.86
Bengkulu,100,ID,1579922380,93,75.9,-3.8,102.27,3.49
Bathsheba,20,BB,1579922381,78,78.8,13.22,-59.52,12.75
Kabinda,84,CD,1579922381,92,68.65,-6.13,24.48,1.63
Rocha,0,UY,1579922381,49,70.83,-34.48,-54.33,7.9
Vila Franca do Campo,75,PT,1579922381,62,57.2,37.72,-25.43,11.41
Port Alfred,0,ZA,1579922351,94,64.0,-33.59,26.89,2.3
Pahrump,1,US,1579922255,39,52.0,36.21,-115.98,5.82
Kachug,100,RU,1579922382,82,5.4,53.96,105.88,2.26
Te Anau,16,NZ,1579922090,77,64.17,-45.42,167.72,8.03
Fortuna,90,US,1579922333,87,55.99,40.6,-124.16,4.85
Nador,68,MA,1579922382,81,52.0,35.17,-2.93,4.7
Katherine,40,AU,1579922383,55,91.4,-14.47,132.27,11.41
Lebu,0,CL,1579922330,63,58.15,-37.62,-73.65,8.08
